"Address","Occurrences","Indexability","Indexability Status","Canonical Link Element 1","HTTP Canonical","Meta Robots 1","X-Robots-Tag 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1"
"https://www.splashtop.com/resources?type=case-studies","1","Non-Indexable","Canonicalised","https://www.splashtop.com/resources","","max-snippet:-1, max-image-preview:large, max-video-preview:-1, index, follow","","","","",""
"https://www.splashtop.com/free-trial?abtest=ineligible&platform=web","1","Non-Indexable","Canonicalised","https://www.splashtop.com/free-trial","","max-snippet:-1, max-image-preview:large, max-video-preview:-1, index, follow","","","","",""
"https://www.splashtop.com/products/business-access?top=learn-more-sba","1","Non-Indexable","Canonicalised","https://www.splashtop.com/products/business-access","","max-snippet:-1, max-image-preview:large, max-video-preview:-1, index, follow","","","","",""
"https://www.splashtop.com/products/sos?top=learn-more-sos","1","Non-Indexable","Canonicalised","https://www.splashtop.com/products/sos","","max-snippet:-1, max-image-preview:large, max-video-preview:-1, index, follow","","","","",""
"https://www.splashtop.com/products?top=explore-products","1","Non-Indexable","Canonicalised","https://www.splashtop.com/products","","max-snippet:-1, max-image-preview:large, max-video-preview:-1, index, follow","","","","",""
"https://www.splashtop.com/products/enterprise?top=enterprise","1","Non-Indexable","Canonicalised","https://www.splashtop.com/products/enterprise","","max-snippet:-1, max-image-preview:large, max-video-preview:-1, index, follow","","","","",""
"https://www.splashtop.com/blog?category=wifi-access-control","1","Non-Indexable","Canonicalised","https://www.splashtop.com/blog","","max-snippet:-1, max-image-preview:large, max-video-preview:-1, index, follow","","","","",""
"https://www.splashtop.com/resources?type=foxpass","1","Non-Indexable","Canonicalised","https://www.splashtop.com/resources","","max-snippet:-1, max-image-preview:large, max-video-preview:-1, index, follow","","","","",""
"https://www.splashtop.com/blog?category=remote-access-insights","1","Non-Indexable","Canonicalised","https://www.splashtop.com/blog","","max-snippet:-1, max-image-preview:large, max-video-preview:-1, index, follow","","","","",""
"https://www.splashtop.com/blog?category=working-remotely","1","Non-Indexable","Canonicalised","https://www.splashtop.com/blog","","max-snippet:-1, max-image-preview:large, max-video-preview:-1, index, follow","","","","",""
"https://www.splashtop.com/form/enterprise/contact-sales?from=enterprise-cards-sba","1","Non-Indexable","Canonicalised","https://www.splashtop.com/form/enterprise/contact-sales","","max-snippet:-1, max-image-preview:large, max-video-preview:-1, index, follow","","","","",""
