"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","URL Encoded Address","Crawl Timestamp"
"https://anydesk.com/en","text/html;charset=UTF-8","200","OK","Indexable","","The Fast Remote Desktop Application – AnyDesk","45","433","Discover AnyDesk, the secure & intuitive remote desktop software, and take advantage of the application's innovative features!","126","803","","0","","0","See what's new","14","Trusted by over 200,000 customers","33","","","","https://anydesk.com/en","","","","","","98013","16874","16874","5.982","","602","132","4.561","45.092","Hard","5.913","0","0","","108","96","0","78.690","141","70","0","19","10","0","","","","","a67edd3d816f0252b3329b6b71b0730d","0.042","","","","","en","1.1","","https://anydesk.com/en","2024-10-13 12:06:24"
"https://anydesk.com/_static/img/icons/twitter-logo-red-03eb4e.svg","image/svg+xml;charset=UTF-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.033","","","","","","1.1","","https://anydesk.com/_static/img/icons/twitter-logo-red-03eb4e.svg","2024-10-13 12:06:27"
"https://anydesk.com/_static/video-js/video-js.min-3b9d55.css","text/css;charset=UTF-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","2","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.044","","","","","","1.1","","https://anydesk.com/_static/video-js/video-js.min-3b9d55.css","2024-10-13 12:06:27"
"https://anydesk.com/_static/img/sliders/reference-logos/customers/20-3799e1.jpg","application/octet-stream;charset=UTF-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","5","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.034","","","","","","1.1","","https://anydesk.com/_static/img/sliders/reference-logos/customers/20-3799e1.jpg","2024-10-13 12:06:27"
"https://anydesk.com/_static/icons/white/bold/arrow-up-38ccc5.svg","image/svg+xml;charset=UTF-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","4","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.035","","","","","","1.1","","https://anydesk.com/_static/icons/white/bold/arrow-up-38ccc5.svg","2024-10-13 12:06:27"
"https://anydesk.com/_static/icons/red/bold/social-instagram-63cc5c.svg","image/svg+xml;charset=UTF-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","4","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.027","","","","","","1.1","","https://anydesk.com/_static/icons/red/bold/social-instagram-63cc5c.svg","2024-10-13 12:06:27"
"https://anydesk.com/_static/icons/red/bold/house-heart-e0e8b5.svg","image/svg+xml;charset=UTF-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","4","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.046","","","","","","1.1","","https://anydesk.com/_static/icons/red/bold/house-heart-e0e8b5.svg","2024-10-13 12:06:27"
"https://anydesk.com/en/support/contact-us","","302","Moved Temporarily","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","2","","190","95","0","77.870","0","0","0","0","0","0","","","","","","2.200","","https://anydesk.com/en/contact-anydesk/support","HTTP Redirect","","","1.1","","https://anydesk.com/en/support/contact-us","2024-10-13 12:06:27"
"https://anydesk.com/_static/img/sliders/reference-logos/customers/6-1f1a16.jpg","application/octet-stream;charset=UTF-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","5","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.021","","","","","","1.1","","https://anydesk.com/_static/img/sliders/reference-logos/customers/6-1f1a16.jpg","2024-10-13 12:06:29"
"https://anydesk.com/en/case-studies/south-bound-brook","text/html;charset=UTF-8","200","OK","Indexable","","AnyDesk for Remote Support – Case Study Southbound Brook","56","546","Find out about Southbound Brook Public School’s IT department working with AnyDesk’s affordable, safe, and easy-to-use Remote Support Software.","143","943","","0","Intuitive Remote Support Software for Educational Institutions","62","Working fast in a secure environment","36","","0","","","","https://anydesk.com/en/case-studies/south-bound-brook","","","","","","90623","16442","16442","5.829","","892","171","5.216","45.998","Hard","8.604","1","2","","32","24","0","19.670","139","69","0","12","10","0","","","","","ba3916a9a2bc674f9dc7650e4782868b","2.201","","","","","en","1.1","","https://anydesk.com/en/case-studies/south-bound-brook","2024-10-13 12:06:27"
"https://anydesk.com/en/case-studies/photographer-denizsaylan","text/html;charset=UTF-8","200","OK","Indexable","","AnyDesk for Remote Work – Case Study Deniz Saylan","49","471","Discover how self-employed photographer Deniz Saylan uses AnyDesk to work remotely on large amounts of data stored on his home computer while being on the road.","160","1065","","0","Freelance Photographer Manages Large Amounts of Data Remotely","61","Easy management of large amounts of data","40","","0","","","","https://anydesk.com/en/case-studies/photographer-denizsaylan","","","","","","90582","16395","16395","5.812","","855","165","5.182","53.055","Fairly Hard","7.994","1","2","","30","22","0","18.030","139","69","0","12","10","0","","","","","63e95aa618bacdb0f79d9836c0ec104f","2.198","","","","","en","1.1","","https://anydesk.com/en/case-studies/photographer-denizsaylan","2024-10-13 12:06:27"
